T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
12.8,22.6,4.0,1020.0,75.0,1.3,2.0,9.4,284.7958333333333
13.8,23.0,6.5,1020.7,79.0,1.1,0.9,3.5,219.72083333333333
13.5,23.4,6.7,1021.3,83.0,0.6,7.2,22.2,182.1875
12.2,20.5,7.1,1020.3,88.0,0.6,5.0,25.9,115.28749999999998
13.2,21.0,5.4,1018.2,83.0,1.3,6.5,22.2,0.0
13.9,21.2,8.6,1018.4,91.0,1.1,4.4,9.4,12.379166666666668
13.2,20.0,7.1,1019.9,88.0,0.8,3.7,9.4,154.03750000000002
13.6,20.1,7.0,1017.5,85.0,0.8,6.9,14.8,223.20833333333331
13.5,20.4,8.0,1017.2,78.0,1.4,8.3,25.9,200.64583333333337
12.2,20.6,4.8,1017.1,83.0,1.3,3.5,9.4,154.875
12.7,21.6,4.8,1018.7,84.0,1.3,2.2,7.6,129.38749999999996
13.8,22.3,7.1,1017.7,82.0,0.8,1.9,7.6,224.2458333333333
15.7,22.9,8.5,1019.6,82.0,1.3,3.1,3.5,285.225
13.3,23.5,8.0,1019.3,69.0,2.3,11.3,27.8,236.825
11.2,19.5,6.0,1018.7,80.0,1.6,7.2,14.8,276.90833333333336
12.2,19.6,4.5,1018.4,82.0,0.8,2.6,7.6,245.65
12.8,22.0,4.2,1017.3,80.0,1.0,1.5,5.4,218.6708333333333
12.8,22.2,4.8,1017.0,81.0,1.0,6.9,25.9,47.82500000000001
14.8,25.4,5.7,1017.1,79.0,1.3,2.0,9.4,108.0
17.5,28.2,7.0,1015.5,79.0,1.3,2.2,3.5,107.625
16.4,28.7,11.5,1012.8,87.0,1.4,14.3,31.7,125.89166666666668
14.5,22.6,11.5,1014.8,97.0,1.4,3.7,7.6,179.3083333333333
13.8,19.4,8.0,1018.1,93.0,0.8,2.2,7.6,239.85
14.8,21.0,9.7,1019.7,88.0,1.1,4.8,11.1,220.1916666666667
13.4,22.0,9.2,1020.2,87.0,1.8,4.1,7.6,181.01250000000005
12.2,19.0,6.0,1022.9,75.0,2.1,5.7,14.8,152.55416666666667
12.9,19.2,5.2,1022.9,73.0,1.9,16.3,38.9,152.32083333333335
13.3,19.0,5.5,1021.8,71.0,2.7,10.7,27.8,171.42916666666665
14.1,20.0,5.4,1020.7,68.0,2.4,5.7,11.1,251.375
14.2,21.0,5.2,1018.9,70.0,1.6,5.6,14.8,251.82916666666668
15.5,21.0,8.2,1017.6,78.0,1.9,8.3,18.3,319.7375
16.3,22.0,11.0,1018.9,82.0,1.4,7.6,18.3,332.7083333333333
12.9,22.5,8.2,1018.8,92.0,0.8,10.2,22.2,279.6
13.8,20.0,9.4,1020.2,88.0,1.1,9.1,16.5,179.11666666666667
15.5,23.0,8.0,1020.3,76.0,2.1,4.6,11.1,166.29999999999998
17.9,25.0,9.0,1015.5,74.0,1.6,3.1,9.4,78.25416666666666
16.5,25.1,13.2,1012.4,96.0,1.6,16.9,46.9,54.79166666666666
14.9,20.4,7.0,1017.2,72.0,2.1,9.4,18.3,93.375
14.8,20.6,8.4,1019.5,71.0,2.6,11.3,18.3,103.0
14.8,22.0,6.0,1020.1,74.0,1.8,8.3,24.1,211.125
15.6,22.0,7.0,1020.6,71.0,1.9,6.3,13.0,192.29166666666663
17.5,23.2,10.6,1021.4,75.0,1.1,2.8,9.4,152.0
19.3,25.0,11.4,1017.8,70.0,1.6,4.6,14.8,132.20833333333334
17.7,25.3,13.9,1015.2,88.0,1.4,11.3,33.5,127.70833333333331
17.6,23.0,11.8,1016.4,83.0,1.8,8.1,18.3,109.33333333333331
16.0,22.0,12.0,1016.4,87.0,1.0,7.2,11.1,0.0
16.8,22.0,10.5,1013.4,76.0,1.4,9.4,22.2,0.0
18.4,26.0,11.2,1008.1,70.0,2.1,8.1,24.1,0.0
18.7,25.8,12.0,1014.3,78.0,1.9,5.0,14.8,56.458333333333336
18.3,24.5,14.5,1017.4,86.0,1.9,5.0,9.4,135.83333333333334
21.6,28.0,13.2,1015.9,72.0,2.9,9.4,16.5,122.5
